Latitude, Longitute, center count 
39.33223724,-76.69738739,2526
39.23413263,-76.59732481,1282
39.34858501,-76.55437109,571
39.31132273,-76.58723662,4903
39.3235735,-76.53983033,1099
39.30227828,-76.66504694,2548
39.28211645,-76.65784457,5243
39.35273573,-76.66546414,2313
39.34304434,-76.56750628,905
39.26820524,-76.60108501,570
39.35635531,-76.67804103,517
39.36113295,-76.61014879,1727
39.29698996,-76.59102898,4443
39.28439191,-76.64700849,7606
39.2690214,-76.61284955,904
39.2774088,-76.7332212,39
39.36224999,-76.58871417,671
39.32396497,-76.60162229,2729
39.33679785,-76.63283353,619
39.2546415,-76.65253511,416
39.34670572,-76.68932586,1244
39.36238538,-76.66443982,228
39.23674761,-76.57560223,16
39.30428148,-76.58358132,4039
39.35998689,-76.56529093,388
39.2095692,-76.5454495,3
39.22992819,-76.60082075,1156
39.24942983,-76.63992824,932
39.30130587,-76.65131678,5594
39.20459484,-76.56664146,249
39.27133988,-76.67245112,2054
39.26784291,-76.68097815,560
39.28648225,-76.59424978,4384
39.33303122,-76.55919648,898
39.3324428,-76.59649658,966
39.34818196,-76.60782087,3799
39.3688718,-76.56341055,545
39.27851208,-76.63774701,2732
39.32250259,-76.55460983,657
39.214798,-76.5544759,2
39.28833371,-76.54598685,656
39.23563809,-76.61075145,438
39.21490408,-76.58668729,64
39.30066583,-76.61637814,3952
39.26227765,-76.63450862,987
39.29983397,-76.62640178,5319
39.31996436,-76.57425734,4227
39.29134326,-76.6074509,4314
39.33786086,-76.55348112,1845
39.32786852,-76.6821589,1905
39.32910581,-76.54376085,667
39.21146984,-76.56747561,16
39.31611383,-76.59754081,5599
39.33343753,-76.65866276,1911
39.27499135,-76.6913725,487
39.26463146,-76.54332118,84
39.34203502,-76.64115163,662
39.270825,-76.737018,1
39.30543626,-76.70812727,226
39.30273271,-76.60824147,3563
39.32841978,-76.62979286,838
39.34981055,-76.53669062,704
39.26690654,-76.57011493,47
39.31033252,-76.53504067,759
39.34721001,-76.5434688,887
39.36081202,-76.69821897,983
39.32454527,-76.59263056,3126
39.32587182,-76.61070219,2932
39.24844346,-76.5346374,19
39.32248858,-76.68946387,941
39.3516673,-76.69548124,1461
39.238708,-76.693609,1
39.26636093,-76.58203436,34
39.30953366,-76.55993856,951
39.30929767,-76.64428125,8979
39.35422886,-76.63432832,180
39.36782015,-76.59711738,941
39.34028549,-76.54729674,600
39.36693257,-76.67593925,220
39.35498413,-76.53176349,693
39.28455611,-76.67203568,2683
39.28408974,-76.73560797,9
39.29657737,-76.56787539,3693
39.29515724,-76.69493847,507
39.31467746,-76.68376162,1014
39.36893681,-76.5860575,577
39.34229263,-76.69553615,531
39.29517301,-76.66300114,4412
39.29390094,-76.70512334,598
39.27228733,-76.55136767,60
39.28960709,-76.53434595,472
39.35348324,-76.59085956,716
39.35546425,-76.57902176,912
39.32751235,-76.56659825,1591
39.30106545,-76.55777892,323
39.26639348,-76.55685911,17
39.32447039,-76.66116566,2927
39.34207207,-76.58795383,1618
39.31063021,-76.70021073,755
39.236014,-76.565246,41
39.26782973,-76.65077001,1608
39.25189009,-76.61589771,674
39.29674492,-76.59892102,3480
39.23119701,-76.56865554,24
39.27770959,-76.5442908,2124
39.31177023,-76.67539455,2240
39.26461567,-76.65679831,554
39.35213227,-76.68512665,1371
39.27791545,-76.62892959,4058
39.35421265,-76.70478193,1428
39.35021776,-76.56597197,910
39.33517392,-76.52973781,151
39.22584114,-76.5943604,812
39.28822151,-76.58710445,1933
39.19452572,-76.59580325,233
39.236577,-76.60552664,1096
39.29237772,-76.68922001,1256
39.34736234,-76.6732561,2723
39.32296861,-76.54865144,1866
39.27818744,-76.69822099,642
39.32926736,-76.53334595,803
39.28935965,-76.56818096,4884
39.3353441,-76.67415877,2197
39.31821395,-76.56794457,1282
39.36209155,-76.62286864,654
39.33371762,-76.64723353,631
39.25983236,-76.66251477,408
39.31882477,-76.61929846,3921
39.28342328,-76.57721711,1399
39.29062706,-76.61260902,10432
39.32162198,-76.67570317,1231
39.35548954,-76.55899318,1251
39.29712007,-76.68348133,1132
39.26992935,-76.59183381,254
39.28489286,-76.61622937,3918
39.36312248,-76.55332119,1121
39.36707115,-76.68511624,375
39.32600569,-76.56233431,792
39.28263019,-76.69190864,1562
39.3174815,-76.56103337,690
39.31779804,-76.54662296,1094
39.29115136,-76.62141896,9005
39.28911406,-76.55707283,1710
39.2596808,-76.53160992,191
39.33980299,-76.66600983,3309
39.24935248,-76.62276218,1520
39.34625685,-76.71162382,1150
39.20697254,-76.57707219,16
39.20760727,-76.54365192,6
39.30079993,-76.63773263,7216
39.29198296,-76.64844468,4938
39.32873878,-76.70639403,328
39.28249643,-76.70709373,391
39.32848008,-76.58026941,432
39.24758565,-76.62877647,1229
39.366747,-76.723519,1
39.24570775,-76.57620874,84
39.36996889,-76.54550715,788
39.2230558,-76.58892947,506
39.26180622,-76.66746072,537
39.28671281,-76.60210071,3384
39.246279,-76.582725,3
39.23066291,-76.59133428,877
39.27161373,-76.53368759,1050
39.29123228,-76.54027679,1028
39.3395895,-76.68372929,1705
39.29272727,-76.67660501,3153
39.33971607,-76.5412731,270
39.25398576,-76.6967864,16
39.29401015,-76.7096894,188
39.31269422,-76.65463376,4589
39.30920166,-76.57067606,1014
39.28103407,-76.53436592,1265
39.31180158,-76.63515595,5658
39.34539032,-76.65065714,1198
39.35850584,-76.59829809,1041
39.26281914,-76.56787431,52
39.25380605,-76.64341205,425
39.36540565,-76.57093188,453
39.34026899,-76.57351425,780
39.27685073,-76.61418513,2943
39.33612471,-76.7038093,503
39.2423218,-76.6756042,376
39.3654997,-76.63434604,156
39.27868439,-76.56755575,1148
39.30740389,-76.62911689,3969
39.30309658,-76.54663568,790
39.30327696,-76.72855659,63
39.22416713,-76.60941693,7
39.29607262,-76.58023132,5693
39.30971373,-76.66751621,2574
39.36150641,-76.70694888,1356
39.2526307,-76.64672764,419
39.30133373,-76.57402828,3919
39.27564356,-76.60745439,943
39.35924965,-76.64827607,787
39.23626813,-76.60212143,934
39.369914,-76.69595608,400
39.25241952,-76.69252011,23
39.32032924,-76.7028797,283
39.33667711,-76.60704436,2353
39.28825578,-76.63425245,7566
39.28603094,-76.70015062,246
39.28207651,-76.68353701,1293
39.20244986,-76.567282,7
39.34585654,-76.68151807,4140
39.31070717,-76.70788317,231
39.2388768,-76.61050586,845
39.23913564,-76.58435491,846
39.31366272,-76.61208003,8073
39.3679067,-76.65043727,300
39.33512296,-76.53542786,329
39.34422677,-76.62191868,367
39.2426938,-76.60306597,1606
39.34253541,-76.53423694,275
39.2319328,-76.6374631,2
39.34569054,-76.59813331,2142
39.31357774,-76.53953125,551
39.20233197,-76.55845758,41
39.28253173,-76.55258668,604
39.34458697,-76.6339799,321
39.30684568,-76.59794742,3553
39.33114019,-76.63671335,1033
39.22692606,-76.58836671,732
39.35764406,-76.54280822,519
39.3324069,-76.61875598,1258
39.237507,-76.668774,1
39.26311145,-76.64311627,469
